70,CDFH3301061992000001,폐업,폐업,02-763-7715,110841,서울특별시 종로구 창신동 407-4번지 ,서울특별시 종로구 종로44길 82 (창신동),,청송헬스,체력단련장업,사립
71,CDFH3301062002000004,폐업,폐업,02-730-9717,110140,서울특별시 종로구 수송동 83-1번지 삼성생명빌딩 지하1층 ,"서울특별시 종로구 율곡로2길 19 (수송동,삼성생명빌딩 지하1층)",,(주)젠스타서비스 스포존,체력단련장업,사립
72,CDFH3301062002000005,폐업,폐업,,110420,서울특별시 종로구 관수동 20-0번지 ,서울특별시 종로구 수표로 96  (관수동),,국일관게임파크,체력단련장업,사립
73,CDFH3301062002000006,폐업,폐업,,110845,서울특별시 종로구 충신동 189-20번지 ,서울특별시 종로구 율곡로22나길 24  (충신동),,대동체육관,체력단련장업,사립
74,CDFH3301062002000007,폐업,폐업,,110825,서울특별시 종로구 숭인동 200-25번지 ,서울특별시 종로구 종로 384  (숭인동),,종로헬스크럽,체력단련장업,사립
75,CDFH3301062002000008,폐업,폐업,,110470,서울특별시 종로구 연지동 1-7번지 은석빌딩 서관 지하2층 ,"서울특별시 종로구 율곡로 194  (연지동,은석빌딩 서관 지하2층)",,오륜 스포츠센터,체력단련장업,사립
76,CDFH3301062002000009,폐업,폐업,,110111,서울특별시 종로구 관철동 19-7번지 ,서울특별시 종로구 삼일대로17길 40  (관철동),,종로헬스,체력단련장업,사립
77,CDFH3301062003000001,폐업,폐업,730-7041,110110,서울특별시 종로구 서린동 149번지 갑을빌딩 B1 ,"서울특별시 종로구 청계천로 11  (서린동,갑을빌딩 B1)",,그랜드 스포츠,체력단련장업,사립
78,CDFH3301062005000002,폐업,폐업,02-394-5010,110846,서울특별시 종로구 평창동 76번지 ,서울특별시 종로구 평창24길 12 (평창동),110846,귀빈스포츠,체력단련장업,사립
79,CDFH3301062005000003,폐업,폐업,,110754,서울특별시 종로구 연지동 1-7번지 로담코센터 서관 (지하2층) ,서울특별시 종로구 율곡로 194 (연지동),110754,서울스포피아,체력단련장업,사립
80,CDFH3301062019000004,폐업,폐업,02-725-7411,,서울특별시 종로구 체부동 32-2번지 영해빌딩 ,"서울특별시 종로구 자하문로 21, 영해빌딩 5층 502호 (체부동)",03040,CA스포츠,체력단련장업,사립
81,CDFH3301062016000005,폐업,폐업,02-744-7561,,서울특별시 종로구 명륜3가 122-1번지 지하1층 ,"서울특별시 종로구 성균관로 15-8, 지하1층 (명륜3가)",03073,태닝&PT샵,체력단련장업,사립
82,CDFH3301062014000001,폐업,폐업,395-2230,110847,서울특별시 종로구 평창동 158-1번지 ,서울특별시 종로구 평창문화로 75 (평창동),03009,로얄휘트니스 스튜디오 서울,체력단련장업,사립
83,CDFH3301062015000001,폐업,폐업,720-1387,110032,서울특별시 종로구 신교동 58-1번지 ,서울특별시 종로구 자하문로 85 (신교동),03035,서촌 휘트니스,체력단련장업,사립
84,CDFH3301062015000005,폐업,폐업,02-722-3122,,서울특별시 종로구 관철동 ,"서울특별시 종로구 삼일대로17길 52, 5층 (관철동, 삼보주단)",03189,PT박스,체력단련장업,사립
85,CDFH3301062015000007,폐업,폐업,,,서울특별시 종로구 인의동 48-2번지 ,"서울특별시 종로구 종로 183, 지하2층 (인의동, 효성주얼리시티)",03130,멋짐 퍼스널 트레이닝,체력단련장업,사립
86,CDFH3301061992000002,폐업,폐업,,,서울특별시 종로구 종로5가 265-12번지 ,서울특별시 종로구 종로 252-6 (종로5가),03197,용림헬스,체력단련장업,사립
87,CDFH3301061999000002,폐업,폐업,,110100,서울특별시 종로구 교남동 6-0번지 ,서울특별시 종로구 통일로 144  (교남동),,월드헬스클럽,체력단련장업,사립
88,CDFH3301061990000001,폐업,폐업,,110836,서울특별시 종로구 종로5가 182-6번지 ,서울특별시 종로구 동호로 406-2 (종로5가),03196,로타리헬스,체력단련장업,사립
89,CDFH3301061997000003,취소/말소/만료/정지/중지,직권말소,,110100,서울특별시 종로구 교남동 75번지 ,서울특별시 종로구 통일로 176 (교남동),,국민헬스,체력단련장업,사립
